spectrometer_90_70nm_einzel_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:40:41
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
598.747	15607.412
598.875	15726.333
599.003	15677.196
599.131	15767.275
599.259	15780.000
599.388	15763.922
599.516	15832.275
599.644	15934.255
599.772	15954.039
599.900	15864.176
600.028	15921.510
600.156	16045.882
600.284	15948.020
600.413	16006.235
600.541	16102.275
600.669	16152.373
600.797	16041.569
600.925	16116.588
601.053	16124.157
601.181	16164.686
601.309	16090.118
601.438	16088.647
601.566	16144.706
601.694	16179.490
601.822	16374.471
601.950	16152.255
602.078	16246.333
602.206	16284.569
602.334	16268.255
602.463	16303.961
602.591	16380.098
602.719	16341.961
602.847	16545.392
602.975	16396.549
603.103	16441.588
603.231	16484.255
603.359	16412.098
603.488	16384.431
603.616	16438.235
603.744	16396.118
603.872	16461.314
604.000	16463.569
604.128	16514.275
604.256	16496.667
604.384	16478.902
604.513	16606.510
604.641	16597.627
604.769	16618.196
604.897	16526.098
605.025	16468.941
605.153	16502.510
605.281	16573.804
605.409	16468.431
605.538	16506.059
605.666	16519.098
605.794	16532.353
605.922	16543.843
606.050	16471.745
606.178	16464.392
606.306	16479.882
606.434	16553.294
606.563	16494.804
606.691	16542.902
606.819	16479.137
606.947	16478.137
607.075	16503.333
607.203	16423.235
607.331	16437.118
607.459	16460.588
607.588	16374.686
607.716	16408.922
607.844	16466.078
607.972	16428.196
608.100	16375.941
608.228	16385.686
608.356	16378.471
608.484	16411.804
608.613	16387.294
608.741	16328.137
608.869	16339.549
608.997	16411.980
609.125	16401.608
609.253	16316.373
609.381	16326.431
609.509	16257.314
609.638	16303.431
609.766	16253.961
609.894	16267.255
610.022	16220.706
610.150	16352.235
610.278	16242.922
610.406	16220.667
610.534	16262.000
610.663	16169.961
610.791	16273.765
610.919	16139.196
611.047	16223.216
611.175	16175.490
611.303	16215.451
611.431	16257.412
611.559	16245.569
611.688	16218.176
611.816	16165.000
611.944	16217.471
612.072	16172.922
612.200	16200.294
612.328	16273.902
612.456	16171.667
612.584	16370.843
612.713	16165.078
612.841	16200.255
612.969	16156.863
613.097	16210.608
613.225	16185.412
613.353	16208.392
613.481	16159.647
613.609	16213.039
613.738	16183.529
613.866	16313.804
613.994	16255.510
614.122	16246.000
614.250	16292.686
