spectrometer_90_referenz_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:30:13
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
569.663	15284.941
569.791	15357.725
569.919	15442.529
570.047	15603.529
570.175	15477.627
570.303	15454.745
570.431	15465.451
570.559	15528.902
570.688	15679.588
570.816	15560.627
570.944	15586.647
571.072	15516.922
571.200	15511.314
571.328	15591.490
571.456	15647.098
571.584	15608.098
571.713	15561.588
571.841	15656.980
571.969	15738.392
572.097	15711.529
572.225	15527.176
572.353	15609.255
572.481	15567.765
572.609	15536.627
572.738	15491.510
572.866	15438.549
572.994	15501.863
573.122	15496.392
573.250	15481.255
573.378	15463.941
573.506	15459.216
573.634	15448.588
573.763	15407.000
573.891	15401.216
574.019	15400.980
574.147	15308.588
574.275	15374.255
574.403	15404.392
574.531	15285.216
574.659	15273.137
574.788	15327.961
574.916	15398.000
575.044	15256.667
575.172	15294.118
575.300	15228.392
575.428	15193.686
575.556	15189.098
575.684	15209.039
575.813	15140.373
575.941	15178.000
576.069	15096.118
576.197	15142.294
576.325	15088.941
576.453	15092.843
576.581	15096.078
576.709	15020.922
576.838	15024.333
576.966	15120.824
577.094	15220.490
577.222	15062.078
577.350	15009.549
577.478	15155.588
577.606	15136.059
577.734	15133.137
577.863	15149.863
577.991	15220.922
578.119	15352.549
578.247	15318.314
578.375	15388.667
578.503	15348.765
578.631	15400.216
578.759	15481.039
578.888	15607.549
579.016	15413.216
579.144	15497.627
579.272	15515.216
579.400	15506.333
579.528	15616.627
579.656	15682.843
579.784	15627.235
579.913	15678.529
580.041	15868.784
580.169	15743.686
580.297	15823.824
580.425	15848.784
580.553	15827.922
580.681	15886.804
580.809	15956.039
580.938	15935.020
581.066	16046.353
581.194	16015.314
581.322	16014.098
581.450	16102.000
581.578	16125.059
581.706	16141.294
581.834	16171.529
581.963	16174.922
582.091	16198.451
582.219	16243.706
582.347	16274.216
582.475	16221.235
582.603	16288.490
582.731	16409.059
582.859	16340.157
582.988	16367.039
583.116	16420.020
583.244	16446.824
583.372	16463.275
583.500	16480.471
583.628	16530.569
583.756	16534.647
583.884	16517.863
584.013	16600.902
584.141	16580.569
584.269	16626.569
584.397	16687.843
584.525	16616.745
584.653	16746.196
584.781	16736.039
584.909	16749.157
585.038	16740.275
585.166	16746.451
585.294	16834.588
585.422	16838.510
585.550	16802.098
585.678	16748.255
585.806	16838.235
585.934	16816.490
586.063	16820.843
586.191	16829.000
586.319	16892.922
586.447	16840.216
586.575	16839.882
586.703	16891.627
586.831	16858.588
586.959	16950.490
587.088	16853.804
587.216	16883.549
587.344	16899.294
587.472	17071.627
587.600	16843.039
587.728	16854.392
587.856	16829.078
587.984	16882.294
588.113	16925.667
588.241	16932.314
588.369	17009.333
588.497	16976.020
588.625	16944.373
588.753	17190.098
588.881	17054.353
589.009	17009.216
589.138	17024.490
589.266	17009.294
589.394	17077.412
589.522	17087.627
589.650	17193.941
589.778	17085.961
589.906	17180.686
590.034	17099.255
590.163	17184.118
590.291	17243.824
590.419	17165.490
590.547	17298.059
590.675	17323.235
590.803	17346.294
590.931	17328.137
591.059	17303.863
591.188	17372.686
591.316	17305.706
591.444	17362.196
591.572	17392.098
591.700	17353.784
591.828	17391.431
591.956	17384.039
592.084	17415.745
592.213	17398.078
592.341	17360.569
592.469	17450.471
592.597	17434.706
592.725	17389.647
592.853	17471.922
592.981	17475.804
593.109	17474.922
593.238	17364.706
593.366	17365.451
593.494	17359.902
593.622	17357.392
593.750	17345.471
593.878	17388.216
594.006	17348.922
594.134	17306.804
594.263	17436.118
594.391	17337.353
594.519	17345.824
594.647	17349.353
594.775	17369.137
594.903	17400.549
595.031	17440.314
595.159	17402.412
595.288	17460.549
595.416	17415.353
595.544	17432.431
595.672	17251.373
595.800	17439.569
595.928	17322.510
596.056	17276.392
596.184	17268.902
596.313	17468.863
596.441	17294.255
596.569	17308.216
596.697	17186.902
596.825	17179.392
596.953	17207.569
597.081	17253.157
597.209	17227.745
597.338	17301.941
597.466	17308.922
