spectrometer_wei?lichtspektrum_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:46:56
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
595.672	16185.113
595.800	16289.174
595.928	16222.270
596.056	16258.087
596.184	16227.809
596.313	16459.991
596.441	16281.887
596.569	16310.939
596.697	16236.443
596.825	16227.904
596.953	16280.139
597.081	16323.687
597.209	16324.835
597.338	16375.304
597.466	16403.670
597.594	16382.722
597.722	16533.026
597.850	16448.078
597.978	16531.809
598.106	16609.835
598.234	16642.583
598.363	16567.487
598.491	16738.409
598.619	16655.165
598.747	16702.739
598.875	16829.765
599.003	16861.313
599.131	16932.591
599.259	16892.713
599.388	16860.296
599.516	17006.183
599.644	17044.226
599.772	17144.852
599.900	17092.435
600.028	17097.600
600.156	17208.957
600.284	17137.270
600.413	17172.878
600.541	17290.774
600.669	17338.417
600.797	17281.130
600.925	17359.339
601.053	17421.278
601.181	17449.017
601.309	17421.696
601.438	17443.843
601.566	17448.800
601.694	17546.661
601.822	17733.226
601.950	17554.470
602.078	17582.435
602.206	17688.391
602.334	17620.922
602.463	17636.217
602.591	17712.322
602.719	17647.678
602.847	17874.070
602.975	17664.487
603.103	17709.991
603.231	17767.296
603.359	17746.096
603.488	17766.443
603.616	17744.687
603.744	17741.791
603.872	17755.191
604.000	17767.748
604.128	17767.209
604.256	17766.139
604.384	17838.400
604.513	17904.504
604.641	17811.035
604.769	17929.791
604.897	17779.087
605.025	17730.922
605.153	17794.730
605.281	17872.557
605.409	17809.296
605.538	17794.904
605.666	17806.896
605.794	17801.809
605.922	17773.043
606.050	17755.374
606.178	17780.617
606.306	17774.896
606.434	17801.035
606.563	17806.809
606.691	17810.722
606.819	17796.217
606.947	17717.000
607.075	17688.322
607.203	17687.817
607.331	17709.226
607.459	17704.357
607.588	17695.235
607.716	17747.365
607.844	17730.948
607.972	17715.174
608.100	17669.557
608.228	17655.070
608.356	17651.148
608.484	17640.157
608.613	17657.243
608.741	17605.200
608.869	17624.461
608.997	17660.217
609.125	17660.817
609.253	17616.852
609.381	17602.730
609.509	17615.591
609.638	17625.157
609.766	17605.504
609.894	17635.217
610.022	17526.087
610.150	17665.096
610.278	17570.870
610.406	17544.243
610.534	17559.183
610.663	17538.504
610.791	17676.678
610.919	17541.722
611.047	17603.313
611.175	17524.522
611.303	17563.687
611.431	17556.409
611.559	17635.748
611.688	17562.304
611.816	17541.530
611.944	17561.583
612.072	17579.965
612.200	17649.652
612.328	17660.826
612.456	17601.817
612.584	17829.357
612.713	17607.357
612.841	17682.861
612.969	17617.287
613.097	17661.626
613.225	17709.922
613.353	17719.522
613.481	17692.270
613.609	17736.157
613.738	17677.609
613.866	17833.965
613.994	17795.374
614.122	17810.304
614.250	17838.235
614.378	17829.400
614.506	17885.904
614.634	17908.504
614.763	17945.652
614.891	17955.400
615.019	18013.661
615.147	18068.817
615.275	18033.522
615.403	18074.391
615.531	18144.609
615.659	18168.209
615.788	18179.391
615.916	18275.930
616.044	18209.957
616.172	18378.426
616.300	18207.000
616.428	18350.070
616.556	18299.652
616.684	18287.687
616.813	18322.122
616.941	18375.270
617.069	18327.843
617.197	18584.887
617.325	18493.400
617.453	18488.052
617.581	18555.322
617.709	18494.365
617.838	18559.965
617.966	18614.870
618.094	18591.287
618.222	18624.591
618.350	18734.017
618.478	18663.435
618.606	18808.470
618.734	18720.696
618.863	18783.922
618.991	18709.113
619.119	18807.461
619.247	18748.539
619.375	18756.278
619.503	18840.583
619.631	18953.070
619.759	18831.965
619.888	18811.009
620.016	18852.435
620.144	18885.757
620.272	18828.626
620.400	18908.191
620.528	18901.000
620.656	19009.061
620.784	18885.452
620.913	18898.070
621.041	18926.722
621.169	18952.304
621.297	18962.026
621.425	18943.000
621.553	18947.374
621.681	19061.652
621.809	19014.609
621.938	19014.696
622.066	19075.017
622.194	19079.861
622.322	19094.548
622.450	19091.887
622.578	19120.852
622.706	19107.991
622.834	19134.565
622.963	19166.087
623.091	19162.078
623.219	19150.643
623.347	19266.774
623.475	19189.426
623.603	19179.435
623.731	19164.626
623.859	19183.826
623.988	19196.626
624.116	19200.287
624.244	19251.930
624.372	19210.722
624.500	19225.035
624.628	19199.939
624.756	19277.730
624.884	19361.861
625.013	19451.130
625.141	19253.339
625.269	19239.583
625.397	19330.226
625.525	19404.843
625.653	19248.183
625.781	19402.800
625.909	19276.487
626.038	19303.061
626.166	19302.591
626.294	19229.226
626.422	19335.757
626.550	19319.957
626.678	19336.261
626.806	19254.104
626.934	19287.252
627.063	19243.487
627.191	19228.704
627.319	19232.835
627.447	19188.626
627.575	19179.400
627.703	19170.339
627.831	19173.191
627.959	19161.722
628.088	19225.365
628.216	19239.157
628.344	19095.757
628.472	19081.904
628.600	19254.687
628.728	19052.304
628.856	19002.791
628.984	19002.035
629.113	18991.522
629.241	18962.739
629.369	18940.643
629.497	18932.704
629.625	18875.435
629.753	18815.348
629.881	18775.783
630.009	18769.296
630.138	18803.687
630.266	18762.983
630.394	18931.930
630.522	18879.339
630.650	18676.739
630.778	18655.043
630.906	18632.652
631.034	18544.243
631.163	18669.870
631.291	18620.383
631.419	18495.670
631.547	18444.339
631.675	18376.296
631.803	18338.157
631.931	18456.591
632.059	18464.261
632.188	18310.635
632.316	18285.791
632.444	18356.226
632.572	18225.235
632.700	18170.817
632.828	18144.548
632.956	18078.817
633.084	18108.783
633.213	18058.948
633.341	18002.426
633.469	18032.426
633.597	18015.391
633.725	18007.948
633.853	17988.722
633.981	17951.157
634.109	18129.591
634.238	17962.539
634.366	17908.809
634.494	17922.713
634.622	17869.974
634.750	17881.174
634.878	17872.939
635.006	17846.687
635.134	17781.157
635.263	17897.852
635.391	17758.322
635.519	17761.417
635.647	17823.191
635.775	17804.209
635.903	17872.617
636.031	17707.852
636.159	17693.313
636.288	17701.609
636.416	17705.478
636.544	17728.496
636.672	17691.287
636.800	17693.165
636.928	17637.557
637.056	17786.191
637.184	17675.574
